method,stage,adapter_eval_mode,layer,module,pretrained_top_k,top_k,epsilon,num_intruders,mean_max_similarity
single_lora,winogrande,n/a,8,v_proj,150,150,0.8,2,0.9879689812660217
single_lora,winogrande,n/a,8,up_proj,150,150,0.8,0,0.992033064365387
single_lora,winogrande,n/a,8,down_proj,150,150,0.8,0,0.9992475509643555
single_lora,winogrande,n/a,15,q_proj,150,150,0.8,0,0.9997456073760986
single_lora,winogrande,n/a,15,v_proj,150,150,0.8,0,0.999498724937439
single_lora,winogrande,n/a,15,up_proj,150,150,0.8,0,0.9991111159324646
single_lora,winogrande,n/a,15,down_proj,150,150,0.8,0,0.9997614622116089
stacked_lora,fever,all,0,q_proj,150,150,0.8,0,0.9996258616447449
stacked_lora,fever,all,0,v_proj,150,150,0.8,0,0.9873111248016357
stacked_lora,fever,all,0,up_proj,150,150,0.8,0,0.989437997341156
stacked_lora,fever,all,0,down_proj,150,150,0.8,0,0.995534360408783
stacked_lora,fever,all,8,q_proj,150,150,0.8,0,0.9990957379341125
stacked_lora,fever,all,8,v_proj,150,150,0.8,0,0.9783135056495667
stacked_lora,fever,all,8,up_proj,150,150,0.8,0,0.9922330975532532
stacked_lora,fever,all,8,down_proj,150,150,0.8,0,0.9977174997329712
stacked_lora,fever,all,15,q_proj,150,150,0.8,0,0.9996614456176758
stacked_lora,fever,all,15,v_proj,150,150,0.8,0,0.9982562065124512
stacked_lora,fever,all,15,up_proj,150,150,0.8,0,0.9990621209144592
stacked_lora,fever,all,15,down_proj,150,150,0.8,0,0.9995535016059875
stacked_lora,mnli,all,0,q_proj,150,150,0.8,0,0.9997991919517517
stacked_lora,mnli,all,0,v_proj,150,150,0.8,0,0.9963191747665405
stacked_lora,mnli,all,0,up_proj,150,150,0.8,0,0.9984186887741089
stacked_lora,mnli,all,0,down_proj,150,150,0.8,0,0.9978678226470947
stacked_lora,mnli,all,8,q_proj,150,150,0.8,0,0.9997623562812805
stacked_lora,mnli,all,8,v_proj,150,150,0.8,0,0.9942027926445007
stacked_lora,mnli,all,8,up_proj,150,150,0.8,0,0.9979087114334106
stacked_lora,mnli,all,8,down_proj,150,150,0.8,0,0.9995805025100708
stacked_lora,mnli,all,15,q_proj,150,150,0.8,0,0.9999510645866394
stacked_lora,mnli,all,15,v_proj,150,150,0.8,0,0.9998353123664856
stacked_lora,mnli,all,15,up_proj,150,150,0.8,0,0.9996144771575928
stacked_lora,mnli,all,15,down_proj,150,150,0.8,0,0.9998530149459839
stacked_lora,qqp,all,0,q_proj,150,150,0.8,0,0.9991884231567383
stacked_lora,qqp,all,0,v_proj,150,150,0.8,0,0.9944061040878296
stacked_lora,qqp,all,0,up_proj,150,150,0.8,0,0.9959974884986877
stacked_lora,qqp,all,0,down_proj,150,150,0.8,0,0.9963748455047607
stacked_lora,qqp,all,8,q_proj,150,150,0.8,0,0.9995649456977844
stacked_lora,qqp,all,8,v_proj,150,150,0.8,0,0.9913244843482971
stacked_lora,qqp,all,8,up_proj,150,150,0.8,0,0.9950559735298157
stacked_lora,qqp,all,8,down_proj,150,150,0.8,0,0.9993424415588379
stacked_lora,qqp,all,15,q_proj,150,150,0.8,0,0.999915361404419
stacked_lora,qqp,all,15,v_proj,150,150,0.8,0,0.9995088577270508
stacked_lora,qqp,all,15,up_proj,150,150,0.8,0,0.9994822144508362
stacked_lora,qqp,all,15,down_proj,150,150,0.8,0,0.9998590350151062
stacked_lora,siqa,all,0,q_proj,150,150,0.8,0,0.9985124468803406
stacked_lora,siqa,all,0,v_proj,150,150,0.8,0,0.990127682685852
stacked_lora,siqa,all,0,up_proj,150,150,0.8,2,0.9909738898277283
stacked_lora,siqa,all,0,down_proj,150,150,0.8,2,0.994829535484314
stacked_lora,siqa,all,8,q_proj,150,150,0.8,0,0.9991942048072815
stacked_lora,siqa,all,8,v_proj,150,150,0.8,0,0.9846640229225159
stacked_lora,siqa,all,8,up_proj,150,150,0.8,2,0.9904013872146606
stacked_lora,siqa,all,8,down_proj,150,150,0.8,0,0.998848557472229
