stage,layer,module,module_path,epsilon,lambda_scale,lambda_options,num_singular_vectors,num_intruders,intruder_fraction,mean_max_similarity,min_max_similarity,correction_frobenius_norm
qqp,7,up_proj,layers.7.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,31,0.01513671875,0.9299783110618591,0.5337182879447937,3.547260284423828
qqp,7,down_proj,layers.7.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,31,0.01513671875,0.940263569355011,0.6021894812583923,3.579155445098877
qqp,8,q_proj,layers.8.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,180,0.087890625,0.9044240713119507,0.4674037992954254,0.7910924553871155
qqp,8,v_proj,layers.8.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,1,0.001953125,0.9594129323959351,0.6495442986488342,0.2754208445549011
qqp,8,up_proj,layers.8.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,14,0.0068359375,0.9448586702346802,0.6210765838623047,2.3818442821502686
qqp,8,down_proj,layers.8.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,15,0.00732421875,0.950847327709198,0.6225952506065369,2.468524217605591
qqp,9,q_proj,layers.9.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,89,0.04345703125,0.9335446357727051,0.4693754315376282,0.5946314930915833
qqp,9,v_proj,layers.9.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,2,0.00390625,0.9597891569137573,0.6774429678916931,0.30274930596351624
qqp,9,up_proj,layers.9.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,8,0.00390625,0.9564418196678162,0.6254619359970093,1.7862849235534668
qqp,9,down_proj,layers.9.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,3,0.00146484375,0.9608849287033081,0.6802471876144409,1.3734130859375
qqp,10,q_proj,layers.10.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,114,0.0556640625,0.923786997795105,0.46257731318473816,0.4471251666545868
qqp,10,v_proj,layers.10.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.9659718871116638,0.7111469507217407,0.0
